demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,loss,roofs,enerphit_by_component,kWh,142.879338342,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,enerphit_by_component,kWh,565.199201229,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,enerphit_by_component,kWh,426.621325418,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,enerphit_by_component,kWh,144.37877764,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,enerphit_by_component,kWh,314.94233715,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,enerphit_by_component,kWh,103.555357677,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,enerphit_by_component,kWh,181.280647003,cooling_demand.north,North,414
cooling,gain,east,enerphit_by_component,kWh,0,cooling_demand.east,East,415
cooling,gain,south,enerphit_by_component,kWh,391.384269689,cooling_demand.south,South,416
cooling,gain,west,enerphit_by_component,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,enerphit_by_component,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,enerphit_by_component,kWh,583.77310068,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,enerphit_by_component,kWh,4092.52553866,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,enerphit_by_component,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,enerphit_by_demand,kWh,1780.54799535,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,enerphit_by_demand,kWh,17.6398626425,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,enerphit_by_demand,kWh,1026.36787039,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,enerphit_by_demand,kWh,481.252676661,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,enerphit_by_demand,kWh,3341.02294896,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,enerphit_by_demand,kWh,723.264514561,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,enerphit_by_demand,kWh,2448.33020497,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,enerphit_by_demand,kWh,5672.0504347,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,enerphit_by_demand,kWh,184.618764712,heating_demand.north,North,390
heating,gain,east,enerphit_by_demand,kWh,0,heating_demand.east,East,391
heating,gain,south,enerphit_by_demand,kWh,266.936546117,heating_demand.south,South,392
heating,gain,west,enerphit_by_demand,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,enerphit_by_demand,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,enerphit_by_demand,kWh,406.687838922,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,enerphit_by_demand,kWh,3355.81756465,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,enerphit_by_demand,kWh,5805.28894252,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,enerphit_by_demand,kWh,2924.4000553,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,enerphit_by_demand,kWh,196.16837029,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,enerphit_by_demand,kWh,20.5888581463,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,enerphit_by_demand,kWh,113.078059664,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,enerphit_by_demand,kWh,561.707496997,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,enerphit_by_demand,kWh,368.090626432,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,enerphit_by_demand,kWh,79.6842441097,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,enerphit_by_demand,kWh,299.54813437,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,enerphit_by_demand,kWh,104.941342053,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,enerphit_by_demand,kWh,181.280647003,cooling_demand.north,North,414
cooling,gain,east,enerphit_by_demand,kWh,0,cooling_demand.east,East,415
cooling,gain,south,enerphit_by_demand,kWh,391.384269689,cooling_demand.south,South,416
cooling,gain,west,enerphit_by_demand,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,enerphit_by_demand,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,enerphit_by_demand,kWh,427.072185165,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,enerphit_by_demand,kWh,3610.87979529,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,enerphit_by_demand,kWh,4644.23115402,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
